,Unnamed: 0,timestamp,capacite,gid,horaires,id,last_update,last_update_fme,nb_tot_place_dispo,nom,p_surv,place_handi
0,0,2022-01-19 03:36:23+01:00,298,18,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",PAR,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Parilly,True,6
1,1,2022-01-19 03:36:23+01:00,680,10,"Ouvert de 4h30 à 1h00 du lundi au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Fermé les dimanches et jours fériés",GOR,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Gorge de Loup,True,19
2,2,2022-01-19 03:36:23+01:00,416,26,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis - Niveau 3 réservé aux abonnés PREMIUM : 100 places dont 3 places handicapés",MERP,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Mermoz Pinel,True,10
3,3,2022-01-19 03:36:23+01:00,57,7,"Ouvert de 4h30 à 1h00, du lundi au dimanche",DECG,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Décines Grand Large,True,2
4,4,2022-01-19 03:36:23+01:00,123,3,"Ouvert de 5h00 à 17h30, du lundi au dimanche - Accès libre en dehors de ces horaires",BELA,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL St Priest Bel Air,True,4
5,5,2022-01-19 03:36:23+01:00,107,13,Ouvert de 4h30 à 1h00 du lundi au dimanche,MEYG,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Meyzieu Gare,True,3
6,6,2022-01-19 03:36:23+01:00,80,5,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",CUI,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Cuire,False,2
7,7,2022-01-19 03:36:23+01:00,521,22,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",VAI1,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Vaise 1,True,10
8,8,2022-01-19 03:36:23+01:00,306,17,"Ouvert de 4h30 à 1h00 du dimanche au jeudi, et de 4h30 à 3h00 les vendredis et samedis",OULS,2022-01-19 01:57:00,2022-01-19 03:36:09,0.0,Parc Relais TCL Oullins La Saulaie Sud,True,7
9,9,2022-01-19 03:36:23+01:00,108,6,"Ouvert de 4h30 à 1h00, du lundi au dimanche",DECC,2022-01-19 01:57:00,2022-01-19 03:36:10,0.0,Parc Relais TCL Décines Centre,True,3
